Success,Debug_Attempts,Run_ID,Code_Size,Cyclomatic_Complexity,Nesting_Depth
1,3,1,99,14,3
1,2,1,135,43,3
1,2,1,152,33,3
1,2,2,70,8,2
1,2,2,19,5,1
1,0,2,115,27,4
1,0,3,83,20,4
1,0,3,97,15,3
1,0,3,95,16,4
1,1,4,106,19,2
1,5,4,139,23,3
1,2,4,166,39,5
1,2,5,110,25,3
1,1,5,359,73,7
1,3,5,40,13,3
1,3,6,172,29,4
1,0,6,180,42,6
1,4,6,94,25,2
1,4,7,42,7,2
1,2,7,131,25,4
1,1,7,114,23,3
1,2,8,131,26,5
1,5,8,184,51,9
1,0,8,188,45,6
1,0,9,79,11,4
1,0,9,117,24,5
1,3,9,109,24,3
1,3,10,68,14,2
1,2,10,108,14,2
1,3,10,163,34,3
1,3,11,97,18,3
1,0,11,128,24,4
1,15,11,139,38,4
1,0,12,190,55,8
1,3,12,66,12,2
1,0,12,164,31,4
1,6,13,146,36,4
1,6,13,110,41,5
1,2,13,118,35,4
1,3,14,184,23,3
1,3,14,159,46,6
1,8,14,120,30,4
1,0,15,165,27,4
1,8,15,94,15,2
1,2,15,103,18,2
1,0,16,37,10,2
1,0,16,212,49,5
1,1,17,79,16,2
1,3,17,121,33,6
1,1,17,93,17,3
1,4,18,133,30,4
1,4,18,58,14,3
1,2,18,18,3,0
1,2,19,170,49,6
1,1,19,148,19,4
1,0,19,150,33,5
1,4,20,137,23,3
1,8,20,126,20,4
1,1,20,137,34,3
1,1,1,155,33,4
1,5,1,268,58,4
1,6,1,121,27,3
1,2,2,65,7,2
1,1,2,113,23,5
1,0,2,165,50,4
1,0,3,83,20,4
1,0,3,87,13,3
1,2,3,77,15,3
1,0,4,106,19,2
1,6,4,11,3,1
1,5,4,194,42,4
1,2,5,108,20,3
1,2,5,286,79,5
1,6,5,101,18,3
1,0,6,259,56,4
1,2,6,306,83,5
1,0,6,193,50,4
1,4,7,42,7,2
1,5,7,13,1,0
1,0,7,65,16,3
1,2,8,139,28,6
1,2,8,180,44,5
1,0,8,195,43,5
1,2,9,111,15,3
1,0,9,129,31,6
1,9,9,164,52,4
