Success,Debug_Attempts,Run_ID,Code_Size,Cyclomatic_Complexity,Nesting_Depth
0,,1,,,
0,,3,,,
1,17,3,70,15,2
1,0,4,28,2,2
1,2,5,44,11,4
1,0,5,36,4,2
1,12,5,92,34,5
1,0,6,15,1,0
1,4,6,50,3,1
1,0,6,44,6,1
1,2,7,61,23,5
1,0,8,49,8,4
1,0,10,35,3,2
1,5,11,84,6,3
1,0,11,102,15,4
0,,11,,,
1,0,12,14,2,0
1,15,12,76,14,4
1,0,12,13,1,0
1,0,13,31,5,2
1,16,13,65,13,5
1,5,13,31,6,2
1,0,14,18,4,2
1,11,14,89,12,3
1,3,14,80,9,3
1,1,15,34,3,1
1,0,16,58,11,4
1,0,16,20,1,0
1,6,16,32,3,1
1,2,18,32,2,0
1,0,18,46,10,3
1,0,19,25,2,0
1,0,1,28,2,1
1,9,1,88,10,4
1,6,1,52,16,4
1,0,4,28,2,1
1,13,4,109,26,3
1,0,4,66,11,4
1,0,5,78,24,4
1,0,5,30,4,1
1,0,5,54,12,3
1,10,6,26,3,1
1,10,6,47,6,2
0,,6,,,
1,0,7,54,18,4
1,5,7,84,8,3
1,15,7,109,31,4
1,0,8,31,7,2
1,7,8,14,1,0
1,0,10,44,3,2
0,,10,,,
