Success,Debug_Attempts,Run_ID,Code_Size,Cyclomatic_Complexity,Nesting_Depth
1,0,1,95,15,5
0,,2,,,
1,0,2,42,11,4
1,19,2,31,6,3
0,,3,,,
1,3,3,53,9,3
1,0,3,73,10,3
1,0,4,21,2,1
0,,4,,,
1,0,4,44,6,1
1,0,6,33,3,2
1,0,6,79,11,5
1,0,6,86,21,4
1,0,7,28,2,1
1,0,9,60,7,2
1,15,9,141,28,5
1,4,9,47,11,2
0,,10,,,
0,,10,,,
0,,10,,,
1,0,12,46,8,3
1,7,12,85,10,3
1,9,12,52,6,2
1,0,13,50,5,3
0,,13,,,
0,,13,,,
1,0,14,47,7,5
1,3,14,65,8,2
0,,14,,,
1,0,15,23,5,2
1,19,16,75,16,4
1,0,16,37,1,1
1,0,16,33,8,2
1,0,17,26,5,1
1,0,17,60,10,3
1,10,17,50,4,1
1,6,19,32,4,2
0,,19,,,
1,0,19,56,6,3
0,,20,,,
1,13,20,67,12,2
0,,20,,,
1,8,1,63,6,2
0,,1,,,
1,0,3,23,1,0
1,0,4,42,9,3
1,9,4,32,2,1
1,0,4,18,2,0
1,0,6,51,6,3
1,0,6,68,9,3
1,0,6,48,4,2
1,0,7,27,4,2
1,16,7,53,4,1
1,8,7,49,5,2
1,10,8,75,12,3
1,0,8,51,3,1
1,3,8,40,8,2
1,0,9,22,2,1
0,,9,,,
1,0,9,41,9,3
1,17,10,52,11,3
1,7,10,71,3,0
1,0,10,92,22,4
1,0,12,46,8,3
0,,12,,,
1,9,12,96,26,4
1,0,13,58,8,3
1,4,13,50,5,2
1,8,13,41,12,2
1,0,14,47,7,5
1,1,14,83,10,3
1,16,14,50,14,2
1,0,15,53,8,4
0,,15,,,
1,0,15,50,11,4
1,0,16,48,7,3
1,15,16,43,1,0
1,17,16,74,18,3
1,0,17,24,6,2
0,,17,,,
1,14,17,133,19,4
1,7,18,38,8,2
1,7,18,114,17,3
1,6,18,29,6,1
