Success,Debug_Attempts,Run_ID,Code_Size,Cyclomatic_Complexity,Nesting_Depth
1,0,1,121,19,4
1,0,1,162,40,5
1,9,1,204,46,4
1,5,2,89,9,2
1,3,2,100,14,2
1,2,2,135,32,5
1,0,3,76,18,3
1,0,3,113,24,3
1,0,3,75,18,3
1,0,4,104,12,2
1,11,4,92,9,0
1,0,4,207,51,7
1,3,5,95,22,3
1,1,5,313,70,5
1,1,5,157,40,4
1,0,6,227,49,4
1,2,6,61,19,5
1,2,6,112,20,4
1,1,7,27,6,0
1,0,7,99,18,4
1,0,7,72,14,3
1,2,8,133,33,4
1,9,8,256,70,7
1,0,8,207,46,7
1,0,9,79,8,3
1,0,9,106,29,6
1,5,9,87,15,2
1,5,10,73,25,2
1,1,10,160,27,4
1,2,10,13,1,0
1,0,11,123,25,5
1,0,11,145,31,6
1,4,11,119,33,4
1,1,12,176,45,8
1,0,12,35,12,2
1,0,12,113,14,4
1,4,13,144,25,4
1,3,13,59,18,2
1,2,13,66,20,2
1,4,14,187,30,7
1,0,14,99,24,5
1,1,14,74,21,8
1,5,15,173,28,4
1,2,15,168,34,6
1,0,15,99,15,2
1,0,16,45,15,2
1,0,16,221,56,5
1,2,16,41,12,2
1,0,17,69,14,3
1,1,17,104,23,7
1,0,17,72,14,2
1,5,18,130,30,4
1,1,18,91,13,3
1,4,18,75,16,2
1,0,19,143,20,3
1,2,19,121,26,4
1,0,19,73,14,1
1,7,20,132,21,3
1,2,20,10,2,1
1,2,20,167,38,3
