Success,Debug_Attempts,Run_ID,Code_Size,Cyclomatic_Complexity,Nesting_Depth
1,0,1,95,22,6
1,0,1,148,31,3
1,0,1,139,31,6
1,0,2,69,15,2
1,1,2,105,13,4
1,0,2,70,11,3
1,0,3,32,7,3
1,1,3,128,35,6
1,0,3,80,15,3
1,1,4,114,17,4
1,5,4,117,22,3
1,0,4,85,13,3
1,2,5,148,33,3
1,1,5,271,57,4
1,2,5,128,35,3
1,2,6,272,56,6
1,2,6,119,30,4
1,0,6,69,9,4
1,0,7,24,6,0
1,4,7,131,18,3
1,0,7,104,23,4
1,0,8,136,32,4
1,0,8,126,31,5
1,2,8,153,34,4
1,1,9,80,7,2
1,0,9,118,29,6
1,21,9,69,15,3
1,3,10,72,18,3
1,3,10,112,27,3
1,3,10,112,14,3
1,2,11,74,17,2
1,0,11,123,19,4
1,0,11,99,18,4
1,4,12,159,39,6
1,0,12,60,16,4
1,0,12,89,16,3
1,2,13,202,49,4
1,4,13,107,22,5
1,9,13,101,31,3
1,3,14,139,25,5
1,0,14,111,35,6
1,3,14,101,22,4
1,1,15,150,30,3
1,7,15,145,38,4
1,0,15,64,3,1
1,4,16,48,8,1
1,3,16,118,19,2
1,0,16,57,9,2
1,2,17,69,20,3
1,0,17,101,30,7
1,3,17,141,41,6
1,2,18,139,30,4
1,2,18,70,9,3
1,3,18,107,26,3
1,0,19,166,27,4
1,2,19,161,27,4
1,0,19,100,22,3
1,2,20,123,14,2
1,0,20,97,28,7
1,2,20,161,31,5
