Success,Debug_Attempts,Run_ID,Code_Size,Cyclomatic_Complexity,Nesting_Depth
0,,1,,,
1,0,1,81,15,4
1,13,1,82,10,2
1,18,3,103,24,4
0,,3,,,
1,0,3,89,15,4
0,,4,,,
0,,4,,,
1,0,4,63,16,5
1,0,5,58,21,5
1,0,5,69,23,4
1,19,5,90,23,3
1,0,6,26,4,1
1,0,7,52,10,4
1,14,7,107,12,3
0,,8,,,
0,,8,,,
1,8,8,76,17,3
1,0,9,38,8,3
1,0,10,34,4,2
0,,10,,,
1,0,10,93,21,4
1,10,11,95,14,3
1,10,11,121,19,5
1,0,12,29,7,1
0,,12,,,
0,,12,,,
1,0,13,28,5,3
1,6,13,52,10,2
0,,13,,,
1,5,18,95,10,3
1,8,18,84,18,2
1,0,18,51,2,1
1,0,19,41,2,1
1,0,19,59,7,3
1,3,19,47,7,2
0,,20,,,
1,9,20,63,6,3
1,10,1,70,20,4
1,3,2,21,2,1
1,0,2,48,10,4
1,2,3,67,9,3
0,,3,,,
0,,3,,,
1,14,4,68,18,5
0,,4,,,
1,0,5,44,20,4
1,2,5,51,25,3
1,8,5,91,13,3
1,0,6,54,6,3
1,2,6,35,5,2
1,0,6,74,33,6
1,0,7,38,7,2
1,17,7,154,47,4
1,0,7,106,32,6
1,0,9,38,8,3
1,20,9,50,3,1
1,17,9,95,17,4
1,0,10,30,5,4
0,,10,,,
1,0,10,73,15,3
1,15,11,139,30,4
1,0,13,34,5,3
1,19,13,34,8,2
1,4,13,45,13,2
1,4,14,52,13,2
0,,14,,,
1,2,14,84,15,2
1,0,16,46,3,2
0,,16,,,
1,0,17,62,14,4
1,10,17,68,19,4
0,,17,,,
1,7,18,119,24,3
0,,18,,,
1,0,18,59,3,2
1,0,19,57,12,2
1,0,19,54,5,1
1,6,19,47,3,2
0,,20,,,
0,,1,,,
0,,1,,,
0,,1,,,
1,6,3,95,16,4
0,,3,,,
1,0,3,74,15,4
1,0,5,48,17,4
1,0,5,56,23,3
1,3,6,13,2,0
1,0,7,45,12,4
1,0,9,38,8,3
1,12,9,43,5,2
0,,10,,,
1,0,11,77,13,2
1,0,12,28,7,1
0,,12,,,
1,0,12,43,8,2
1,0,13,32,9,2
1,15,13,35,10,3
1,19,13,28,8,2
1,12,14,36,11,2
1,1,14,94,20,4
1,2,14,71,7,4
1,4,15,25,4,2
1,1,15,69,11,5
1,0,16,51,4,2
1,10,16,50,12,2
1,0,16,28,3,1
1,0,17,55,12,3
1,7,17,76,12,2
1,4,17,59,10,3
1,4,18,71,6,2
1,0,18,47,6,3
0,,18,,,
1,5,19,66,17,2
1,0,19,66,9,2
1,11,19,73,13,3
0,,20,,,
1,11,20,29,1,0
1,2,20,31,3,2
